Frequency of observation,REF_AREA,Reference area,MEASURE,Measure,UNIT_MEASURE,Unit of measure,Institutional sector,Edition,Category,TIME_PERIOD,OBS_VALUE,Observation status
Annual,PRT,Portugal,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2020,156.177,Normal value
Annual,PRT,Portugal,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2021,142.185,Normal value
Annual,PRT,Portugal,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2022,114.252,Normal value
Annual,PRT,Portugal,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2023,104.748,Normal value
Annual,PRT,Portugal,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2024,100.563,Normal value
Annual,PRT,Portugal,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2007,80.161,Normal value
Annual,PRT,Portugal,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2008,84.003,Normal value
Annual,PRT,Portugal,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2009,96.941,Normal value
Annual,PRT,Portugal,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2010,104.725,Normal value
Annual,PRT,Portugal,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2011,108.884,Normal value
Annual,PRT,Portugal,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2012,136.283,Normal value
Annual,PRT,Portugal,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2013,139.982,Normal value
Annual,PRT,Portugal,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2014,149.779,Normal value
Annual,PRT,Portugal,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2015,147.901,Normal value
Annual,PRT,Portugal,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2016,143.658,Normal value
Annual,SVK,Slovak Republic,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2017,65.508,Normal value
Annual,SVK,Slovak Republic,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2018,63.051,Normal value
Annual,SVK,Slovak Republic,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2019,62.851,Normal value
Annual,SVK,Slovak Republic,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2020,76.872,Normal value
Annual,SVK,Slovak Republic,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2021,76.905,Normal value
Annual,SVK,Slovak Republic,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2022,63.868,Normal value
Annual,SVK,Slovak Republic,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2023,63.44,Normal value
Annual,SVK,Slovak Republic,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2024,66.227,Normal value
Annual,SVK,Slovak Republic,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2007,36.467,Normal value
Annual,SVK,Slovak Republic,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2008,35.336,Normal value
Annual,SVK,Slovak Republic,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2009,44.563,Normal value
Annual,SVK,Slovak Republic,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2010,48.85,Normal value
Annual,SVK,Slovak Republic,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2011,51.697,Normal value
Annual,SVK,Slovak Republic,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2012,61.147,Normal value
Annual,SVK,Slovak Republic,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2013,65.504,Normal value
Annual,SVK,Slovak Republic,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2014,67.924,Normal value
Annual,SVK,Slovak Republic,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2015,66.395,Normal value
Annual,SVK,Slovak Republic,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2016,67.665,Normal value
Annual,SVN,Slovenia,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2017,90.555,Normal value
Annual,SVN,Slovenia,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2018,84.52,Normal value
Annual,SVN,Slovenia,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2019,82.023,Normal value
Annual,SVN,Slovenia,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2020,101.004,Normal value
Annual,SVN,Slovenia,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2021,90.077,Normal value
Annual,SVN,Slovenia,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2022,71.878,Normal value
Annual,SVN,Slovenia,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2023,70.481,Normal value
Annual,SVN,Slovenia,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2024,69.736,Normal value
Annual,SVN,Slovenia,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2007,30.909,Normal value
Annual,SVN,Slovenia,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2008,30.924,Normal value
Annual,SVN,Slovenia,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2009,45.125,Normal value
Annual,SVN,Slovenia,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2010,49.2,Normal value
Annual,SVN,Slovenia,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2011,52.721,Normal value
Annual,SVN,Slovenia,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2012,63.432,Normal value
Annual,SVN,Slovenia,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2013,80.427,Normal value
Annual,SVN,Slovenia,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2014,101.138,Normal value
Annual,SVN,Slovenia,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2015,104.166,Normal value
Annual,SVN,Slovenia,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2016,99.027,Normal value
Annual,SWE,Sweden,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2017,52.407,Normal value
Annual,SWE,Sweden,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2018,51.231,Normal value
Annual,SWE,Sweden,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2019,47.458,Normal value
Annual,SWE,Sweden,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2020,53.38,Normal value
Annual,SWE,Sweden,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2021,49.523,Normal value
Annual,SWE,Sweden,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2022,44.73,Normal value
Annual,SWE,Sweden,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2023,42.092,Normal value
Annual,SWE,Sweden,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2024,45.587,Normal value
Annual,SWE,Sweden,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2007,47.931,Normal value
Annual,SWE,Sweden,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2008,46.839,Normal value
Annual,SWE,Sweden,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2009,49.554,Normal value
Annual,SWE,Sweden,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2010,47.314,Normal value
Annual,SWE,Sweden,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2011,47.338,Normal value
Annual,SWE,Sweden,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2012,48.151,Normal value
Annual,SWE,Sweden,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2013,50.655,Normal value
Annual,SWE,Sweden,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2014,57.04,Normal value
Annual,SWE,Sweden,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2015,55.49,Normal value
Annual,SWE,Sweden,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2016,54.57,Normal value
Annual,TUR,Türkiye,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2014,33.234,Normal value
Annual,TUR,Türkiye,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2015,31.046,Normal value
Annual,TUR,Türkiye,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2016,31.896,Normal value
Annual,TUR,Türkiye,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2017,32.276,Normal value
Annual,TUR,Türkiye,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2018,32.578,Normal value
Annual,TUR,Türkiye,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2019,35.392,Normal value
Annual,TUR,Türkiye,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2020,43.15,Normal value
Annual,TUR,Türkiye,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2021,43.371,Normal value
Annual,TUR,Türkiye,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2022,35.94,Normal value
Annual,TUR,Türkiye,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2023,34.127,Normal value
Annual,TUR,Türkiye,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2007,,Normal value
Annual,TUR,Türkiye,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2008,,Normal value
Annual,TUR,Türkiye,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2009,,Normal value
Annual,TUR,Türkiye,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2010,48.901,Normal value
Annual,TUR,Türkiye,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2011,43.603,Normal value
Annual,TUR,Türkiye,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2012,40.941,Normal value
Annual,TUR,Türkiye,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2013,34.284,Normal value
Annual,USA,United States,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2016,106.839,Normal value
Annual,USA,United States,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2017,105.694,Normal value
Annual,USA,United States,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2018,107.113,Normal value
Annual,USA,United States,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2019,108.358,Normal value
Annual,USA,United States,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2020,132.385,Normal value
Annual,USA,United States,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2021,124.814,Normal value
Annual,USA,United States,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2022,119.258,Normal value
Annual,USA,United States,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2023,121.266,Normal value
Annual,USA,United States,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2024,122.865,Normal value
Annual,USA,United States,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2007,64.302,Normal value
Annual,USA,United States,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2008,73.367,Normal value
Annual,USA,United States,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2009,86.423,Normal value
Annual,USA,United States,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2010,94.925,Normal value
Annual,USA,United States,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2011,99.305,Normal value
Annual,USA,United States,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2012,102.916,Normal value
Annual,USA,United States,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2013,104.197,Normal value
Annual,USA,United States,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2014,104.093,Normal value
Annual,USA,United States,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2015,104.804,Normal value
